,country,population
176,Philippines,99900177
99,Hungary,9982000
28,Bolivia,9947418
23,Burundi,9863117
196,Sweden,9828655
60,Dominican Republic,9823821
35,Belarus,9685000
98,Haiti,9648924
151,Montserrat,9341
117,Kiribati,92533
235,Vatican City,921
110,Jersey,90812
24,Benin,9056010
240,Vietnam,89571130
194,Seychelles,88340
68,Ethiopia,88013491
70,Fiji,875983
3,Antigua and Barbuda,86754
25,Saint Barthélemy,8450
186,Qatar,840926
0,Andorra,84000
15,Azerbaijan,8303512
207,South Sudan,8260490
11,Austria,8205000
56,Germany,81802257
64,Egypt,80471869
96,Honduras,7989415
224,Turkey,77804122
187,Réunion,776948
118,Comoros,773407
107,Iran,76923300
42,Switzerland,7581000
103,Isle of Man,75049
218,Tajikistan,7487489
93,Guyana,748486
198,Saint Helena,7460
57,Djibouti,740528
22,Bahrain,738004
102,Israel,7353985
189,Serbia,7344847
59,Dominica,72813
13,Aruba,71566
21,Bulgaria,7148785
39,Democratic Republic of the Congo,70916439
179,Saint Pierre and Miquelon,7012
32,Bhutan,699847
94,Hong Kong,6898686
217,Thailand,67089500
139,Montenegro,666730
216,Togo,6587239
142,Marshall Islands,65859
26,Bermuda,65365
80,Guernsey,65228
74,France,64768389
135,Libya,6461454
112,Jordan,6407085
185,Paraguay,6375830
125,Laos,6368162
38,Cocos [Keeling] Islands,628
76,United Kingdom,62348447
175,Papua New Guinea,6064515
209,El Salvador,6052064
109,Italy,60340328
164,Nicaragua,5995928
66,Eritrea,5792984
10,American Samoa,57881
115,Kyrgyzstan,5776500
83,Greenland,56375
193,Solomon Islands,559198
58,Denmark,5484000
201,Slovakia,5455000
148,Northern Mariana Islands,53883
145,Myanmar [Burma],53414374
202,Sierra Leone,5245695
69,Finland,5244000
119,Saint Kitts and Nevis,51134
51,Cape Verde,508659
166,Norway,5009150
1,United Arab Emirates,4975593
133,Luxembourg,497538
221,Turkmenistan,4940916
206,Suriname,492829
247,South Africa,49000000
40,Central African Republic,4844927
121,South Korea,48422644
73,Faroe Islands,48228
48,Colombia,47790000
197,Singapore,4701069
67,Spain,46505963
78,Georgia,4630000
101,Ireland,4622917
180,Pitcairn Islands,46
16,Bosnia and Herzegovina,4590000
229,Ukraine,45415596
49,Costa Rica,4516220
147,Macao,449198
97,Croatia,4491000
86,Guadeloupe,443000
123,Cayman Islands,44270
149,Martinique,432900
138,Moldova,4324000
170,New Zealand,4252277
228,Tanzania,41892895
9,Argentina,41343201
126,Lebanon,4125247
152,Malta,403000
114,Kenya,40046566
105,British Indian Ocean Territory,4000
154,Maldives,395650
27,Brunei,395027
181,Puerto Rico,3916632
178,Poland,38500000
182,Palestine,3800000
210,Sint Maarten,37429
130,Liberia,3685076
140,Saint Martin,35925
195,Sudan,35000000
128,Liechtenstein,35000
233,Uruguay,3477000
61,Algeria,34586184
172,Panama,3410676
37,Canada,33679000
230,Uganda,33398682
137,Monaco,32965
150,Mauritania,3205060
136,Morocco,31627428
203,San Marino,31477
36,Belize,314522
232,United States,310232863
108,Iceland,308910
146,Mongolia,3086918
41,Republic of the Congo,3039126
31,Bahamas,301790
89,South Georgia and the South Sandwich Islands,30
173,Peru,29907003
5,Albania,2986952
6,Armenia,2968000
171,Oman,2967717
106,Iraq,29671605
132,Lithuania,2944459
2,Afghanistan,29121286
167,Nepal,28951852
17,Barbados,285653
111,Jamaica,2847232
157,Malaysia,28274729
122,Kuwait,2789132
82,Gibraltar,27884
234,Uzbekistan,27865738
65,Western Sahara,273008
237,Venezuela,27223228
174,French Polynesia,270485
14,Åland,26711
71,Falkland Islands,2638
192,Saudi Arabia,25731776
200,Svalbard and Jan Mayen,2550
81,Ghana,24339838
100,Indonesia,242968342
245,Yemen,23495361
120,North Korea,22912177
227,Taiwan,22894384
211,Syria,22198110
134,Latvia,2217969
241,Vanuatu,221552
158,Mozambique,22061451
188,Romania,21959278
238,British Virgin Islands,21730
169,Niue,2166
160,New Caledonia,216494
12,Australia,21515754
129,Sri Lanka,21513990
44,Cook Islands,21388
159,Namibia,2128471
141,Madagascar,21281844
43,Ivory Coast,21058798
143,Macedonia,2062294
213,Turks and Caicos Islands,20556
34,Botswana,2029307
30,Brazil,201103330
199,Slovenia,2007000
184,Palau,19907
79,French Guiana,195506
46,Cameroon,19294149
243,Samoa,192001
131,Lesotho,1919552
177,Pakistan,184404791
162,Norfolk Island,1828
29,Bonaire,18012
244,Kosovo,1800000
208,São Tomé and Príncipe,175808
45,Chile,16746491
165,Netherlands,16645000
20,Burkina Faso,16241811
127,Saint Lucia,160922
242,Wallis and Futuna,16025
91,Guam,159358
84,Gambia,1593256
246,Mayotte,159042
161,Niger,15878271
92,Guinea-Bissau,1565126
18,Bangladesh,156118464
75,Gabon,1545255
155,Malawi,15447500
163,Nigeria,154000000
124,Kazakhstan,15340000
53,Christmas Island,1500
62,Ecuador,14790608
219,Tokelau,1466
116,Cambodia,14453680
52,Curacao,141766
190,Russia,140702000
215,French Southern Territories,140
144,Mali,13796354
90,Guatemala,13550440
212,Swaziland,1354051
248,Zambia,13460305
47,China,1330044000
4,Anguilla,13254
7,Angola,13068161
153,Mauritius,1294104
63,Estonia,1291170
113,Japan,127288000
204,Senegal,12323252
225,Trinidad and Tobago,1228691
223,Tonga,122580
104,India,1173108018
249,Zimbabwe,11651858
220,East Timor,1154625
50,Cuba,11423000
156,Mexico,112468855
191,Rwanda,11055976
54,Cyprus,1102677
88,Greece,11000000
239,U.S. Virgin Islands,108708
77,Grenada,107818
72,Micronesia,107708
183,Portugal,10676000
222,Tunisia,10589025
214,Chad,10543464
55,Czech Republic,10476000
226,Tuvalu,10472
236,Saint Vincent and the Grenadines,104217
19,Belgium,10403000
85,Guinea,10324025
87,Equatorial Guinea,1014999
205,Somalia,10112453
168,Nauru,10065
33,Bouvet Island,0
8,Antarctica,0
231,U.S. Minor Outlying Islands,0
95,Heard Island and McDonald Islands,0
