,country,population
2,Afghanistan,29121286
5,Albania,2986952
61,Algeria,34586184
10,American Samoa,57881
0,Andorra,84000
7,Angola,13068161
4,Anguilla,13254
8,Antarctica,0
3,Antigua and Barbuda,86754
9,Argentina,41343201
6,Armenia,2968000
13,Aruba,71566
12,Australia,21515754
11,Austria,8205000
15,Azerbaijan,8303512
31,Bahamas,301790
22,Bahrain,738004
18,Bangladesh,156118464
17,Barbados,285653
35,Belarus,9685000
19,Belgium,10403000
36,Belize,314522
24,Benin,9056010
26,Bermuda,65365
32,Bhutan,699847
28,Bolivia,9947418
29,Bonaire,18012
16,Bosnia and Herzegovina,4590000
34,Botswana,2029307
33,Bouvet Island,0
30,Brazil,201103330
105,British Indian Ocean Territory,4000
238,British Virgin Islands,21730
27,Brunei,395027
21,Bulgaria,7148785
20,Burkina Faso,16241811
23,Burundi,9863117
116,Cambodia,14453680
46,Cameroon,19294149
37,Canada,33679000
51,Cape Verde,508659
123,Cayman Islands,44270
40,Central African Republic,4844927
214,Chad,10543464
45,Chile,16746491
47,China,1330044000
53,Christmas Island,1500
38,Cocos [Keeling] Islands,628
48,Colombia,47790000
118,Comoros,773407
44,Cook Islands,21388
49,Costa Rica,4516220
97,Croatia,4491000
50,Cuba,11423000
52,Curacao,141766
54,Cyprus,1102677
55,Czech Republic,10476000
39,Democratic Republic of the Congo,70916439
58,Denmark,5484000
57,Djibouti,740528
59,Dominica,72813
60,Dominican Republic,9823821
220,East Timor,1154625
62,Ecuador,14790608
64,Egypt,80471869
209,El Salvador,6052064
87,Equatorial Guinea,1014999
66,Eritrea,5792984
63,Estonia,1291170
68,Ethiopia,88013491
71,Falkland Islands,2638
73,Faroe Islands,48228
70,Fiji,875983
69,Finland,5244000
74,France,64768389
79,French Guiana,195506
174,French Polynesia,270485
215,French Southern Territories,140
75,Gabon,1545255
84,Gambia,1593256
78,Georgia,4630000
56,Germany,81802257
81,Ghana,24339838
82,Gibraltar,27884
88,Greece,11000000
83,Greenland,56375
77,Grenada,107818
86,Guadeloupe,443000
91,Guam,159358
90,Guatemala,13550440
80,Guernsey,65228
85,Guinea,10324025
92,Guinea-Bissau,1565126
93,Guyana,748486
98,Haiti,9648924
95,Heard Island and McDonald Islands,0
96,Honduras,7989415
94,Hong Kong,6898686
99,Hungary,9982000
108,Iceland,308910
104,India,1173108018
100,Indonesia,242968342
107,Iran,76923300
106,Iraq,29671605
101,Ireland,4622917
103,Isle of Man,75049
102,Israel,7353985
109,Italy,60340328
43,Ivory Coast,21058798
111,Jamaica,2847232
113,Japan,127288000
110,Jersey,90812
112,Jordan,6407085
124,Kazakhstan,15340000
114,Kenya,40046566
117,Kiribati,92533
244,Kosovo,1800000
122,Kuwait,2789132
115,Kyrgyzstan,5776500
125,Laos,6368162
134,Latvia,2217969
126,Lebanon,4125247
131,Lesotho,1919552
130,Liberia,3685076
135,Libya,6461454
128,Liechtenstein,35000
132,Lithuania,2944459
133,Luxembourg,497538
147,Macao,449198
143,Macedonia,2062294
141,Madagascar,21281844
155,Malawi,15447500
157,Malaysia,28274729
154,Maldives,395650
144,Mali,13796354
152,Malta,403000
142,Marshall Islands,65859
149,Martinique,432900
150,Mauritania,3205060
153,Mauritius,1294104
246,Mayotte,159042
156,Mexico,112468855
72,Micronesia,107708
138,Moldova,4324000
137,Monaco,32965
146,Mongolia,3086918
139,Montenegro,666730
151,Montserrat,9341
136,Morocco,31627428
158,Mozambique,22061451
145,Myanmar [Burma],53414374
159,Namibia,2128471
168,Nauru,10065
167,Nepal,28951852
165,Netherlands,16645000
160,New Caledonia,216494
170,New Zealand,4252277
164,Nicaragua,5995928
161,Niger,15878271
163,Nigeria,154000000
169,Niue,2166
162,Norfolk Island,1828
120,North Korea,22912177
148,Northern Mariana Islands,53883
166,Norway,5009150
171,Oman,2967717
177,Pakistan,184404791
184,Palau,19907
182,Palestine,3800000
172,Panama,3410676
175,Papua New Guinea,6064515
185,Paraguay,6375830
173,Peru,29907003
176,Philippines,99900177
180,Pitcairn Islands,46
178,Poland,38500000
183,Portugal,10676000
181,Puerto Rico,3916632
186,Qatar,840926
41,Republic of the Congo,3039126
188,Romania,21959278
190,Russia,140702000
191,Rwanda,11055976
187,Réunion,776948
25,Saint Barthélemy,8450
198,Saint Helena,7460
119,Saint Kitts and Nevis,51134
127,Saint Lucia,160922
140,Saint Martin,35925
179,Saint Pierre and Miquelon,7012
236,Saint Vincent and the Grenadines,104217
243,Samoa,192001
203,San Marino,31477
192,Saudi Arabia,25731776
204,Senegal,12323252
189,Serbia,7344847
194,Seychelles,88340
202,Sierra Leone,5245695
197,Singapore,4701069
210,Sint Maarten,37429
201,Slovakia,5455000
199,Slovenia,2007000
193,Solomon Islands,559198
205,Somalia,10112453
247,South Africa,49000000
89,South Georgia and the South Sandwich Islands,30
121,South Korea,48422644
207,South Sudan,8260490
67,Spain,46505963
129,Sri Lanka,21513990
195,Sudan,35000000
206,Suriname,492829
200,Svalbard and Jan Mayen,2550
212,Swaziland,1354051
196,Sweden,9828655
42,Switzerland,7581000
211,Syria,22198110
208,São Tomé and Príncipe,175808
227,Taiwan,22894384
218,Tajikistan,7487489
228,Tanzania,41892895
217,Thailand,67089500
216,Togo,6587239
219,Tokelau,1466
223,Tonga,122580
225,Trinidad and Tobago,1228691
222,Tunisia,10589025
224,Turkey,77804122
221,Turkmenistan,4940916
213,Turks and Caicos Islands,20556
226,Tuvalu,10472
231,U.S. Minor Outlying Islands,0
239,U.S. Virgin Islands,108708
230,Uganda,33398682
229,Ukraine,45415596
1,United Arab Emirates,4975593
76,United Kingdom,62348447
232,United States,310232863
233,Uruguay,3477000
234,Uzbekistan,27865738
241,Vanuatu,221552
235,Vatican City,921
237,Venezuela,27223228
240,Vietnam,89571130
242,Wallis and Futuna,16025
65,Western Sahara,273008
245,Yemen,23495361
248,Zambia,13460305
249,Zimbabwe,11651858
14,Åland,26711
